ForceID	KungFuID	PointID	CostTrain	CostNothing	PointRequireLevel	SkillID1	SkillLevel1	RequireLevel1	RequireQuestID1	SkillID2	SkillLevel2	RequireLevel2	RequireQuestID2	SkillID3	SkillLevel3	RequireLevel3	RequireQuestID3	SkillID4	SkillLevel4	RequireLevel4	RequireQuestID4	SkillID5	SkillLevel5	RequireLevel5	RequireQuestID5
5	1009	1019	0	1	1	100532	1	1	0	100533	1	1	0												
5	1009	1020	0	1	1	100096	1	1	0	100102	1	1	0												
5	1010	1033	0	1	1	100584	1	1	0	100585	1	1	0												
5	1010	1034	0	1	1	100586	1	1	0	100587	1	1	0												
5	1010	1035	0	1	1	101956	1	1	0	100588	1	1	0												
5	1010	1036	0	1	1	100377	1	1	0	100598	1	1	0												
6	1011	1045	0	1	1	100794	1	1	0	100801	1	1	0												
6	1011	1046	0	1	1	100802	1	1	0	100803	1	1	0												
6	1011	1047	0	1	1	100804	1	1	0	100805	1	1	0												
6	1011	1048	0	1	1	100763	1	1	0	100764	1	1	0												
6	1012	1049	0	1	1	100828	1	1	0	100829	1	1	0												
6	1012	1050	0	1	1	100830	1	1	0	100831	1	1	0												
6	1012	1051	0	1	1	100832	1	1	0	100833	1	1	0												
6	1012	1052	0	1	1	100765	1	1	0	100766	1	1	0												
7	1013	1057	0	1	1	101943	1	1	0	101944	1	1	0												
7	1013	1058	0	1	1	101945	1	1	0	101946	1	1	0												
7	1013	1059	0	1	1	101947	1	1	0	101948	1	1	0												
7	1013	1060	0	1	1	101885	1	1	0	101886	1	1	0												
7	1014	1069	0	1	1	101802	1	1	0	101803	1	1	0												
7	1014	1070	0	1	1	101804	1	1	0	101805	1	1	0												
7	1014	1071	0	1	1	101806	1	1	0	101807	1	1	0												
7	1014	1072	0	1	1	101732	1	1	0	101733	1	1	0												
8	1015	1065	0	1	1	100919	1	1	0	100917	1	1	0												
8	1015	1066	0	1	1	100918	1	1	0	100916	1	1	0												
8	1015	1067	0	1	1	100920	1	1	0	100921	1	1	0												
8	1015	1068	0	1	1	100741	1	1	0	101934	1	1	0												
8	1030	1117	0	1	1	101904	1	1	0	101905	1	1	0												
8	1030	1118	0	1	1	101906	1	1	0	101907	1	1	0												
8	1030	1119	0	1	1	101908	1	1	0	101909	1	1	0												
8	1030	1120	0	1	1	101824	1	1	0	100905	1	1	0												
9	1016	1053	0	1	1	100849	1	1	0	100850	1	1	0												
9	1016	1054	0	1	1	100851	1	1	0	100852	1	1	0												
9	1016	1055	0	1	1	100853	1	1	0	100854	1	1	0												
9	1016	1056	0	1	1	100824	1	1	0	100825	1	1	0												
10	1017	1041	0	1	1	100787	1	1	0	100788	1	1	0												
10	1017	1042	0	1	1	100789	1	1	0	100790	1	1	0												
10	1017	1043	0	1	1	100791	1	1	0	100792	1	1	0												
10	1017	1044	0	1	1	101859	1	1	0	101862	1	1	0												
10	1018	1061	0	1	1	100929	1	1	0	100934	1	1	0												
10	1018	1062	0	1	1	101895	1	1	0	100932	1	1	0												
10	1018	1063	0	1	1	101896	1	1	0	100931	1	1	0												
10	1018	1064	0	1	1	100935	1	1	0	100874	1	1	0												
21	1019	1073	0	1	1	101245	1	1	0	101246	1	1	0												
21	1019	1074	0	1	1	101247	1	1	0	101248	1	1	0												
21	1019	1075	0	1	1	101249	1	1	0	101250	1	1	0												
21	1019	1076	0	1	1	102042	1	1	0	102040	1	1	0												
21	1020	1093	0	1	1	101345	1	1	0	101346	1	1	0												
21	1020	1094	0	1	1	101347	1	1	0	101348	1	1	0												
21	1020	1095	0	1	1	101349	1	1	0	101350	1	1	0												
21	1020	1096	0	1	1	101035	1	1	0	101344	1	1	0												
22	1021	1077	0	1	1	101225	1	1	0	101226	1	1	0												
22	1021	1078	0	1	1	101227	1	1	0	101228	1	1	0												
22	1021	1079	0	1	1	101229	1	1	0	101230	1	1	0												
22	1021	1080	0	1	1	101231	1	1	0	101232	1	1	0												
22	1022	1081	0	1	1	101233	1	1	0	101234	1	1	0												
22	1022	1082	0	1	1	101235	1	1	0	101236	1	1	0												
22	1022	1083	0	1	1	101237	1	1	0	101238	1	1	0												
22	1022	1084	0	1	1	101239	1	1	0	101240	1	1	0												
23	1023	1085	0	1	1	101296	1	1	0	101297	1	1	0												
23	1023	1086	0	1	1	101298	1	1	0	101299	1	1	0												
23	1023	1087	0	1	1	101300	1	1	0	101301	1	1	0												
23	1023	1088	0	1	1	101015	1	1	0	101016	1	1	0												
24	1024	1113	0	1	1	101165	1	1	0	101166	1	1	0												
24	1024	1114	0	1	1	101167	1	1	0	101168	1	1	0												
24	1024	1115	0	1	1	101169	1	1	0	101170	1	1	0												
24	1024	1116	0	1	1	102111	1	1	0	102112	1	1	0												
25	1025	1089	0	1	1	101324	1	1	0	101325	1	1	0												
25	1025	1090	0	1	1	101326	1	1	0	101329	1	1	0												
25	1025	1091	0	1	1	101328	1	1	0	101327	1	1	0												
25	1025	1092	0	1	1	101192	1	1	0	101193	1	1	0												
211	1026	1097	0	1	1	101473	1	1	0	101474	1	1	0												
211	1026	1098	0	1	1	101475	1	1	0	101476	1	1	0												
211	1026	1099	0	1	1	101477	1	1	0	101478	1	1	0												
211	1026	1100	0	1	1	101454	1	1	0	101455	1	1	0												
212	1027	1101	0	1	1	101419	1	1	0	101420	1	1	0												
212	1027	1102	0	1	1	101421	1	1	0	101422	1	1	0												
212	1027	1103	0	1	1	101423	1	1	0	101424	1	1	0												
212	1027	1104	0	1	1	101370	1	1	0	101371	1	1	0												
212	1028	1105	0	1	1	101432	1	1	0	101433	1	1	0												
212	1028	1106	0	1	1	101434	1	1	0	101435	1	1	0												
212	1028	1107	0	1	1	101436	1	1	0	101437	1	1	0												
212	1028	1108	0	1	1	101413	1	1	0	101414	1	1	0												
213	1029	1109	0	1	1	101537	1	1	0	101538	1	1	0												
213	1029	1110	0	1	1	101539	1	1	0	101540	1	1	0												
213	1029	1111	0	1	1	101541	1	1	0	101542	1	1	0												
213	1029	1112	0	1	1	101395	1	1	0	101396	1	1	0												
214	1031	1121	0	1	1	102012	1	1	0	102013	1	1	0												
214	1031	1122	0	1	1	102014	1	1	0	102015	1	1	0												
214	1031	1123	0	1	1	102016	1	1	0	102017	1	1	0												
214	1031	1124	0	1	1	102010	1	1	0	102011	1	1	0												
215	1032	1125	0	1	1	102293	1	1	0	102294	1	1	0												
215	1032	1126	0	1	1	102295	1	1	0	102296	1	1	0												
215	1032	1127	0	1	1	102297	1	1	0	102298	1	1	0												
215	1032	1128	0	1	1	102290	1	1	0	102291	1	1	0												
