门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置
天策,铁牢律,8,战心,“灭”附带流血和破风效果并使“流血”伤害提高20%，使自身立刻获得3点战意，并每秒回复3%内力和气血，持续3秒。,6781,4
天策,铁牢律,8,疾雨,“乘龙箭”每0.8秒朝目标区域发射箭雨，持续2.4秒。每波箭雨延迟0.8秒后对目标6尺范围最多5个目标造成<SUB 24894 0>外功伤害，每波箭雨范围内有3个及以上敌方目标会降低“乘龙箭”8秒调息时间。,24895,5
天策,铁牢律,9,日影,“疾”命中目标降低自身“沧月”5秒调息时间，恢复自身5点战意。,5685,1
天策,铁牢律,9,长征,“突”变为2层充能，命中目标时获得1点“战意”。,6514,2
天策,铁牢律,9,北伐,“战八方”伤害提高30%，附带额外威胁值。,5689,3
天策,铁牢律,9,渊,解除自身所有移动限制(击倒和被击僵直除外)，冲刺到友方目标身边，为其承受4次伤害，并使自身外功基础攻击力提高35%(<SKILLEx {D0} {BasicPhysicsAP 0.35}>点)，持续10秒。,2628,4
天策,铁牢律,9,崩决,施展“龙牙”，使得自身“破招”提高10%，此效果持续15秒，最多叠加7层。,25354,5
天策,铁牢律,10,反岳,“御”成功抵挡一次伤害则会降低2秒“守如山”调息时间。,14799,1
天策,铁牢律,10,烈雷,“撼如雷”调息时间降低5秒，施展后强制半径10尺内最多5个目标攻击自身，持续4秒。,14800,2
天策,铁牢律,10,薄伐,“破坚阵”可冲刺至15尺内目标身边对其释放，将目标周围8尺范围5个目标击倒并立即造成<SUB 14881 0>外功伤害。,14823,3
天策,铁牢律,10,昂如岳,“御”可以在公共调息时间中施展，施展后恢复自身10%气血值并使自身基础气血值上限提高20%，持续10秒。,18239,4
天策,铁牢律,10,坚城,“守如山”调息时间降低55秒，减伤效果变为50%，在“守如山”效果期间受到“定身”、“眩晕”、“击倒”控制效果缩短30%，马上施展则额外增加5秒持续时间。,5694,5
天策,铁牢律,11,戟胜,“御”持续时间结束后每层效果使自身回复6%气血最大值。,14828,1
天策,铁牢律,11,于役,“啸如虎”可在受控状态下施展，效果期间受到会心攻击恢复自身5%气血值，最多作用5次。,14822,2
天策,铁牢律,11,至武,受到伤害未重伤状态下自身气血值低于35%，立刻重置“守如山”调息时间，该效果每90秒最多出现一次。,14802,3
天策,铁牢律,11,载戎,“御”每成功抵御一次伤害，调息时间降低2秒。,14827,4
天策,铁牢律,11,辅国,施展“啸如虎”不再有气血值限制，期间自身受到伤害将会在“啸如虎”气劲结束之后使得自身获得可以化解等量伤害的吸收盾，最大为自身3倍的最大气血值，持续10秒。,24902,5
天策,铁牢律,12,在握,“疾如风”调息时间降低7秒，施展后10秒内自身受到技能伤害被会心几率降低30%。,14805,1
天策,铁牢律,12,温邑,自身气血值每降低10%，“守如山”减伤效果持续时间增加1秒。,14804,2
天策,铁牢律,12,戈矛,“沧月”击退作用目标最高数量提高至7个，每成功击退1个目标，降低自身2秒“守如山”调息时间。,14826,3
天策,铁牢律,12,号令三军,一鼓，自身每2300点基础体质使团队成员无双等级提高594点，最多100层，持续30秒；二鼓，团队成员的无双提高层数衰减一半，持续30秒；三鼓，团队成员受到的所有伤害提高10%，持续至战斗结束，该招式每场战斗只能施展一次。,15115,4
天策,铁牢律,12,力破万钧,只能在马下施展，蓄力刺出长枪，蓄力期间自身免疫控制，移动速度降低50%，最多蓄力1.5秒，对面前12尺最多4个目标击退并最多造成<SUB 24843 3>点外功伤害。若将目标击退至障碍上，使得目标击倒，最多3秒。蓄力时间越长，伤害越高，击倒时间越长。对气血值低于50%的目标伤害提高70%。,24841,5
纯阳,太虚剑意,1,朝玄,“万剑归宗”锁足时间提高1秒。,5801,1
纯阳,太虚剑意,1,心固,“三环套月”会心提高10%，会心效果提高10%。,5807,2
纯阳,太虚剑意,1,吐故纳新,处于自身“生太极”气场当中，自身受到的伤害降低10%，受到攻击有15%几率令攻击者锁足3秒，并回复自身10%的内力，该效果每20秒只能触发一次。,17747,3
纯阳,太虚剑意,2,和光,“八荒归元”调息时间降低2秒，伤害提高10%。,32407,1
纯阳,太虚剑意,2,深埋,“凭虚御风”闪避效果提高10%，持续期间受到内功伤害降低30%。,5811,2
纯阳,太虚剑意,2,不善,“三环套月”附带60%减速效果，持续5秒。,18701,3
纯阳,太虚剑意,3,无尤,“玄应之气”上限提高20点，“人剑合一”状态，状态下自身免疫控制（被推被拉除外）。,38539,1
纯阳,太虚剑意,3,白虹,“无我无剑”命中目标后，会对目标周围6尺内最多5个目标造成外功伤害，消耗的气越多，伤害越高。该效果不受到“无我无剑”秘籍的影响。,5800,2
纯阳,太虚剑意,3,浑沦,“玄应之气”达到上限时会自动进入“人剑合一”状态，“人剑合一”调息时间降低12秒，定身时间提高3秒，会引爆范围内自身和敌方的气场，自身气场被引爆时周围9尺敌对目标也将受到伤害和定身效果。,38540,3
纯阳,太虚剑意,3,化三清,产生一个10尺的气场，自身每3秒回复20%内力和1.5格气，小队成员每3秒回复5%内力，持续期间不受打退、打断影响，持续9秒。<TALENT 6914 1 气场存在时间延长15秒><EnchantID 10074 太虚剑意下施展气场，气场每3秒对范围内所有目标造成中等外功伤害效果><TALENT 6747 1 “人剑合一”引爆“化三清”使自身3秒内不消耗内力，持续3秒，可以累加3次>,357,4
纯阳,太虚剑意,4,云中剑,施展“人剑合一”时自身13尺内存在“生太极”气场后会使“气剑”分别环绕自身6尺运转8秒，“气剑”运转期间会对4个敌对目标造成<SUB 21979 1>外功伤害。,21812,1
纯阳,太虚剑意,4,无意,消耗3格气以上施展“无我无剑”，会心几率提高10%，会心效果提高30%。,5818,2
纯阳,太虚剑意,4,镜花影,“万剑归宗”命中拥有自身“吞日月”效果的目标，可在8秒内施展二段招式，对目标造成100%武器伤害附加<SUB 27003 1>外功伤害。二段招式命中目标后会标记目标，3秒后对目标额外造成<SUB 31012 1>外功伤害。,26700,3
纯阳,太虚剑意,4,剑飞惊天,使目标下马并且<BUFF 1097 1 desc>，持续<BUFF 1097 1 time>，续气一格。若你攻击的目标正在运功，对目标造成<SUB 335 1>外功伤害，并令你额外续气两格并使该目标5秒内无法运功。,310,4
纯阳,太虚剑意,5,独笑,“转乾坤”每秒恢复自身8%气血最大值。,5809,1
纯阳,太虚剑意,5,风逝,“人剑合一”状态下5格气施展“无我无剑”将降低0.5秒“八荒归元”调息时间，并给目标叠加1层“风逝”效果，“风逝”最多叠加4层，每层使目标受到的“八荒归元”伤害额外提高50%。,17742,2
纯阳,太虚剑意,5,瑞氛,施展“紫气东来”时会将四道剑散落在20尺内自身最近的“生太极”气场上，并且剑会在3秒后回到自身并对路径目标造成伤害。,36106,3
纯阳,太虚剑意,5,合虚,“玄一”效果被卸除时只消失1层，“无我无剑”命中自身“玄一”效果的目标则伤害提高10%。,24969,4
纯阳,太虚剑意,6,解牛,对被定身、锁足、眩晕的目标伤害提高25%。每次命中被定身、锁足、眩晕的目标会使自身会心几率提高2%，持续3秒，最多提高20%。,5802,1
纯阳,太虚剑意,6,湛存,被自身“吞日月”效果作用的敌方侠士目标每秒获得1层“湛存”效果，最多3层，持续4秒。自身施展“无我无剑”命中带有“湛存”效果的目标，最少1层对目标造成200%武器伤害附加<SUB 30828 1>外功伤害，最多3层对目标造成200%武器伤害附加<SUB 30828 3>外功伤害。,30831,2
纯阳,太虚剑意,6,叠刃,“无我无剑”命中目标后附带1层叠刃效果，若会心则额外附带1层叠刃效果，最多叠加5层。,5821,3
纯阳,太虚剑意,6,开兑,“吞日月”可解除友方目标阳性，阴性，混元性和毒性不利效果各一个。,14986,4
纯阳,太虚剑意,7,切玉,“八荒归元”命中40%气血以下目标，能够使“叠刃”的持续伤害立即生效。自身“紫气东来”期间生效气血值提高到60%以下。,6758,1
纯阳,太虚剑意,7,雾外江山,除“镇山河”外所有气场招式的调息时间降低1秒，施展气场后额外回复1格气，成功运功施展气场，则使下一个气场无需运功。,6481,2
纯阳,太虚剑意,7,长生,每次成功施展气场或剑阵，则使气场或剑阵中心4尺内3个侠士目标锁足1秒，且自身下一个伤害招式附带“持盈”效果，对目标造成<SUB 21726 0>外功伤害，效果持续15秒，可叠加3层。,21725,3
纯阳,太虚剑意,7,列星,“紫气东来”状态下施展“剑冲阴阳”后可施展二段招式“剑斩列星”，对10尺半径内最多5个目标造成<SUB 32402 4>外功伤害并禁锢2秒。,32400,4
纯阳,太虚剑意,8,负阴,“碎星辰”气场持续时间增加12秒，对自身的增益效果提高100%。,14829,1
纯阳,太虚剑意,8,无我,“坐忘无我”每点根骨或身法化解的伤害提高10%，效果期间自身受到的伤害降低50%，每秒恢复自身0.4%最大气血值，受到“锁足”“定身”“眩晕”“击倒”控制效果持续时间缩短30%。,5813,2
纯阳,太虚剑意,8,若水,“紫气东来”充能时间降低15秒，充能层数提高1层。,14598,3
纯阳,太虚剑意,8,斗转,“剑冲阴阳”使命中目标后会为目标添加2层“叠刃”效果并将把距离目标30尺内最近的自身创建的“吞日月”气场吸引至目标脚下，并强化该“吞日月”5秒，使自身伤害命中该次“吞日月”中的目标会造成0.25秒眩晕效果。,32403,4
纯阳,太虚剑意,8,裂云,自身造成的“叠刃”效果最高层数提高至7层，处于自身4层“叠刃”及以上的目标15尺内将提高自身25%的移动速度和15%的外功会心效果。,24962,5
纯阳,太虚剑意,9,同根,“万剑归宗”目标数量提高2个，“无我无剑”“万剑归宗”的伤害提高10%。,5810,1
纯阳,太虚剑意,9,实腹,“大道无术”“人剑合一”“剑冲阴阳”控制时间延长1秒，并使自身续气一格。,6466,2
纯阳,太虚剑意,9,故长,“碎星辰”变为无调息时间，只对自己生效，处于“碎星辰”期间自身无视目标60%外功防御。,18799,3
纯阳,太虚剑意,9,随物,“剑冲阴阳”可直接对敌方目标施展。,6744,4
纯阳,太虚剑意,9,无为,“大道无术”成功控制目标获得5格气，使自身立刻获得4秒“紫气东来”效果，且4秒内可额外施展一次“八荒归元”。,24961,5
纯阳,太虚剑意,10,期声,拥有增益气场气劲时，自身混元内功和外功基础攻击提高10%。,6472,1
纯阳,太虚剑意,10,物我两忘,“人剑合一”对成功定身的目标添加1层“叠刃”，并使12秒内自身对该目标产生的“定身”“眩晕”不受同类型控制效果衰减。,17743,2
纯阳,太虚剑意,10,剑势,“人剑合一”状态下施展“吞日月”将会额外消耗20点“玄应之气”，“吞日月”会在产生的时候标记其中3个敌方侠士目标，施展“无我无剑”命中被标记的目标则使其受到“剑灵”攻击4秒，被标记的目标离开“吞日月”1秒后将再次回到“吞日月”中心位置并移除标记。,20782,3
纯阳,太虚剑意,10,剑入,施展“万剑归宗”时会在当前目标位置落下一柄“灵剑”，“灵剑”每秒对6尺内3个敌对目标造成<SUB 34693 0>外功伤害，并在3秒后爆炸额外造成<SUB 34694 0>外功伤害。,34656,4
纯阳,太虚剑意,10,至柔,“大道无术”命中定身的目标则变为眩晕效果。,24958,5
纯阳,太虚剑意,11,无欲,施展“紫气东来”将重置“人剑合一”调息时间，“紫气东来”持续期间不再持续获得气点，但基础攻击力提高至50%，无双等级提高30%。,17731,1
纯阳,太虚剑意,11,凶年,“生太极”作用范围提高5尺，减速效果提高到45%。,14835,2
纯阳,太虚剑意,11,不争,“坐忘无我”调息时间降低3秒，可以对队友使用，对队友使用时，使其化解(<SKILLEx {D0} {CurrentAgility 5}>)点伤害且受到的伤害降低50%，持续5秒。,22704,3
纯阳,太虚剑意,11,虚极,自身“叠刃”伤害提高45%。“万剑归宗”会心提高10%，会心效果提高10%，调息时间降低2秒，命中目标将使其获得一层“叠刃”效果。,14832,4
纯阳,太虚剑意,11,狂歌,“人剑合一”每命中一个气场，自身回复2格气，5%内力和1%气血，为小队成员回复2%内力和1%气血。,5812,5
纯阳,太虚剑意,12,匣中,“剑冲阴阳”伤害提高100%，“剑冲阴阳”施展后立即重置“八荒归元”调息时间。,6757,1
纯阳,太虚剑意,12,剑道万象,需聚气。引动万象剑阵，对目标侠士造成伤害并使目标获得“万象”效果，最少一格气持续3秒，最多五格气持续12秒，并且自身12秒内移动速度提高60%。对“万象”剑阵的目标施展“无我无剑”时造成额外的伤害，若30尺内有自身“生太极”气场且该气场距离自身10尺以外，则将气场移动至自身脚下。,32447,2
纯阳,太虚剑意,12,玄门,“生太极”持续时间提高5秒，非战斗状态下每秒额外获得6点“玄应之气”。不再获得“生太极”增益效果，“人剑合一”状态下每秒获得5格气。,14833,3
纯阳,太虚剑意,12,行天道,吸收20尺范围内自身的气场，使目标点形成12尺的“天道剑阵”，成功吸收气场时自身会化作“天道剑气”出现在“天道剑阵”中，同时使自身1秒内无法被命中，“天道剑阵”持续12秒，使该区域同时附带“生太极”“吞日月”“碎星辰”效果，剑阵每3秒对区域内5个敌人造成<SUB 32780 2>外功伤害并附带“叠刃”和5层“玄一”效果。,15187,4
纯阳,太虚剑意,12,凌云剑,怒刺一剑，对目标造成<SUB 24973 0>外功伤害，并标记目标，持续10秒。期间可以施展二段技能，朝被标记目标冲刺，对270度的6尺范围最多5个目标造成<SUB 24977 0>外功伤害，定身2秒并额外附带2层“叠刃”效果。,24972,5
纯阳,紫霞功,1,雾锁,“四象轮回”的伤害提高10%，减速效果提高20%。,5840,1
纯阳,紫霞功,1,白虹,“四象轮回”的会心提高10%，会心效果提高10%。,5827,2
纯阳,紫霞功,1,不善,施展“太极无极”使目标移动速度降低40%，持续5秒。,17752,3
纯阳,紫霞功,2,霜锋,运功施展“四象轮回”后下一个“两仪化形”无视目标48%化劲等级。,5828,1
纯阳,紫霞功,2,心固,“四象轮回”命中目标时额外获得1.5格气。,5823,2
纯阳,紫霞功,2,吐故纳新,处于自身“生太极”气场当中，自身受到的伤害降低10%，受到攻击有15%几率令攻击者锁足3秒，并回复自身10%的内力，该效果每20秒只能触发一次。,17747,3
纯阳,紫霞功,3,抱一,“坐忘无我”调息时间降低3秒，可额外透支使用一次。,22703,1
纯阳,紫霞功,3,归衡,施展“三才化生”会将30尺内自身所有气场收回至自身位置。,33098,2
纯阳,紫霞功,3,无形,“两仪化形”命中目标后，对自身前方20尺内路径上最多5个目标造成混元内功伤害。,5846,3
